\$1N14254\  \R405\-\1\ \IC33\-\AP5\ 
*  \C380\-\1\ \C382\-\1\ \C476\-\1\ \C465\-\1\ \C374\-\1\ \C151\-\1\ 
*  \C373\-\1\ \C486\-\1\ \C410\-\1\ \C159\-\1\ \C479\-\1\ \C393\-\1\ 
*  \C497\-\1\ \C412\-\1\ \C490\-\1\ \C498\-\1\ \C167\-\1\ \C157\-\1\ 
*  \C411\-\1\ \C414\-\1\ \C495\-\1\ \C527\-\2\ \C463\-\1\ \C492\-\1\ 
*  \C489\-\1\ \C166\-\1\ \R190\-\1\ \C413\-\1\ \C528\-\2\ \C409\-\1\ 
*  \C416\-\1\ \C164\-\1\ \C500\-\1\ \C364\-\1\ \C370\-\1\ \C372\-\1\ 
*  \C468\-\1\ \C369\-\1\ \C149\-\1\ \C478\-\1\ \C480\-\1\ \C365\-\1\ 
*  \C477\-\1\ \C400\-\1\ \C481\-\1\ \C487\-\1\ \C397\-\1\ \C392\-\1\ 
*  \J20\-\2\ \$3I11127\-\2\ \J21\-\2/2\ \C176\-\1\ \C421\-\1\ \R171\-\1\ 
*  \OSC1\-\2\ \C178\-\2\ \C179\-\2\ \R177\-\1\ \R178\-\1\ \R175\-\1\ 
*  \R185\-\1\ \C259\-\1\ \R257\-\1\ \C423\-\1\ \C425\-\1\ \C426\-\1\ 
*  \C427\-\1\ \C428\-\1\ \$1I18760\-\2\ \$3I11151\-\2\ 
\HW_ID0\  \R193\-\2\ \IC33\-\AM25\ \R192\-\2\ 
\HW_ID1\  \IC33\-\AK25\ \R191\-\2\ \R194\-\2\ 
\HW_ID2\  \IC33\-\AK21\ \R190\-\2\ \R195\-\2\ 
\HW_ID3\  \IC33\-\AE26\ \R196\-\2\ \R197\-\2\ 
\Helper_DCXO_N\  \IC33\-\E17\ \$3I11070\-\2\ 
\Helper_DCXO_P\  \IC33\-\E18\ \$3I11069\-\2\ 
\Helper_DCXO_SCL_25\  \IC33\-\AL12\ 
\Helper_DCXO_SDA_25\  \IC33\-\AM12\ 
\MGTAVCC\  \IC33\-\C6\ \IC33\-\N6\ \C158\-\2\ \C417\-\2\ \C164\-\2\ \C415\-\2\ 
*  \C160\-\2\ \IC33\-\E6\ \IC33\-\U6\ \IC33\-\AJ6\ \IC33\-\G6\ \C154\-\2\ 
*  \C156\-\2\ \C485\-\2\ \IC33\-\J6\ \C484\-\2\ \IC33\-\L6\ \IC33\-\AL6\ 
*  \C407\-\2\ \C411\-\2\ \IC33\-\W6\ \IC33\-\AC6\ \C486\-\2\ \C483\-\2\ 
*  \C155\-\2\ \C412\-\2\ \C162\-\2\ \C478\-\2\ \C167\-\2\ \C157\-\2\ 
*  \C482\-\2\ \IC33\-\AE6\ \IC33\-\AN6\ \C488\-\2\ \C477\-\2\ \IC33\-\AG6\ 
*  \C479\-\2\ \C480\-\2\ \C487\-\2\ \C153\-\2\ \C481\-\2\ 
\MGTAVTT\  \R405\-\2\ \C406\-\2\ \C496\-\2\ \C408\-\2\ \C410\-\2\ \C498\-\2\ 
*  \IC33\-\AP6\ \C499\-\2\ \IC33\-\AH3\ \IC33\-\AL2\ \IC33\-\Y3\ \C492\-\2\ 
*  \IC33\-\AC2\ \IC33\-\T3\ \IC33\-\H3\ \C497\-\2\ \C495\-\2\ \IC33\-\AD3\ 
*  \IC33\-\AM3\ \C493\-\2\ \IC33\-\AG2\ \IC33\-\C2\ \IC33\-\L2\ \IC33\-\W2\ 
*  \C490\-\2\ \IC33\-\D3\ \C489\-\2\ \C163\-\2\ \IC33\-\R2\ \C161\-\2\ 
*  \C159\-\2\ \IC33\-\G2\ \C491\-\2\ \IC33\-\M3\ \C494\-\2\ \C414\-\2\ 
*  \C166\-\2\ \C413\-\2\ \C500\-\2\ \C165\-\2\ 
\MGTVCCAUX\  \IC33\-\R6\ \C416\-\2\ \IC33\-\AA6\ \C405\-\2\ \C409\-\2\ \C419\-\2\ 
*  \C418\-\2\ 
\MMC_FPGA_DONE\  \R173\-\2\ 
\MMC_FPGA_INIT_B\  \R174\-\2\ 
\MMC_FPGA_PROG_B\  \R172\-\2\ 
\MMC_MISO1\  \IC33\-\AM9\ 
\MMC_MOSI1\  \IC33\-\AJ9\ 
\MMC_SCK1\  \IC33\-\AK8\ 
\MMC_SSEL1\  \IC33\-\AL8\ 
\Main_DCXO_OE_25\  \IC33\-\AM11\ 
\Main_DCXO_SCL_25\  \IC33\-\AN11\ 
\Main_DCXO_SDA_25\  \IC33\-\AN13\ 
\OSC3_PWR\  \C259\-\2\ \OSC2\-\6\ \OSC2\-\2\ \L19\-\2\ 
\P1V5\  \R193\-\1\ \IC33\-\AE24\ \IC33\-\AP27\ \R194\-\1\ \R196\-\1\ \IC33\-\AF21\ 
*  \IC33\-\AH25\ \IC33\-\AM23\ \IC33\-\AL26\ \IC33\-\AJ22\ \IC33\-\AE14\ \R195\-\1\ 
*  \C368\-\2\ \IC33\-\AN20\ \IC33\-\AL16\ \C364\-\2\ \IC33\-\AJ32\ \IC33\-\AD17\ 
*  \IC33\-\AG18\ \IC33\-\AK29\ \IC33\-\AM33\ \C367\-\2\ \IC33\-\AH15\ \IC33\-\AP17\ 
*  \C366\-\2\ \C475\-\2\ \C428\-\2\ \C365\-\2\ \C424\-\2\ \IC33\-\AK19\ 
*  \C425\-\2\ \IC33\-\AG28\ \IC33\-\AN30\ \C369\-\2\ \C426\-\2\ \C427\-\2\ 
*  \C429\-\2\ 
\P1V8\  \IC33\-\A16\ \C404\-\2\ \IC33\-\H15\ \IC33\-\F11\ \C398\-\2\ \IC33\-\D17\ 
*  \IC33\-\C20\ \IC33\-\C10\ \IC33\-\AE34\ \C396\-\2\ \R219\-\1\ \IC33\-\D27\ 
*  \IC33\-\E14\ \C473\-\2\ \IC33\-\K19\ \IC33\-\G18\ \C421\-\2\ \IC33\-\B13\ 
*  \IC33\-\K9\ \IC33\-\F21\ \IC33\-\AB33\ \IC33\-\G8\ \IC33\-\U28\ \IC33\-\AC30\ 
*  \IC33\-\L16\ \C395\-\2\ \C420\-\2\ \IC33\-\B23\ \IC33\-\AB23\ \IC33\-\AC20\ 
*  \IC33\-\A26\ \IC33\-\J12\ \IC33\-\W22\ \IC33\-\AA26\ \IC33\-\W32\ \IC33\-\Y29\ 
*  \IC33\-\E24\ \C471\-\2\ \IC33\-\T21\ \IC33\-\V25\ \C472\-\2\ \IC33\-\AD27\ 
*  \IC33\-\AF31\ \L20\-\2\ \C401\-\2\ \C403\-\2\ \C474\-\2\ \C402\-\2\ 
*  \C400\-\2\ \C397\-\2\ \C399\-\2\ 
\P3V3\  \C168\-\2\ \R163\-\2\ \R162\-\2\ \R169\-\2\ \C370\-\2\ \R159\-\2\ 
*  \IC33\-\P27\ \R184\-\1\ \R164\-\2\ \R170\-\2\ \IC33\-\AM13\ \R167\-\2\ 
*  \C212\-\2\ \C371\-\2\ \IC3\-\2\ \R165\-\2\ \IC33\-\AK9\ \IC33\-\N20\ 
*  \IC2\-\2\ \IC33\-\H25\ \IC33\-\AF11\ \OSC1\-\4\ \C374\-\2\ \R161\-\2\ 
*  \IC33\-\Y9\ \IC33\-\R24\ \C174\-\2\ \IC33\-\AB9\ \IC33\-\J22\ \IC33\-\L26\ 
*  \IC33\-\W7\ \R160\-\2\ \IC33\-\AN10\ \IC33\-\M23\ \IC33\-\AG8\ \IC33\-\AJ12\ 
*  \C373\-\2\ \C529\-\2\ \C375\-\2\ \C372\-\2\ \OSC1\-\1\ \R180\-\1\ 
*  \R179\-\1\ \R176\-\1\ \L19\-\1\ 
\P3V3MP\  \C176\-\2\ 
\PRI_UART_RxD\  \IC33\-\K22\ 
\PRI_UART_TxD\  \IC33\-\K20\ 
\PUDC\  \R168\-\2\ \R169\-\1\ \IC33\-\P7\ \SW1\-\4\ \R184\-\2\ \R186\-\1\ 
\QSPI0_CS_B\  \IC2\-\7\ \R161\-\1\ \IC33\-\U7\ \IC27\-\11\ 
\QSPI0_IO0\  \IC2\-\15\ \IC33\-\AC7\ \IC27\-\8\ 
\QSPI0_IO1\  \IC27\-\4\ \IC2\-\8\ \IC33\-\AB7\ 
\QSPI0_IO2\  \IC2\-\9\ \IC33\-\AA7\ \R160\-\1\ 
\QSPI0_IO3\  \IC2\-\1\ \IC33\-\Y7\ \R159\-\1\ 
\QSPI1_CS_B\  \R163\-\1\ \IC3\-\7\ \IC33\-\G26\ 
\QSPI1_IO0\  \IC3\-\15\ \IC33\-\M20\ 
\QSPI1_IO1\  \IC3\-\8\ \IC33\-\L20\ 
\QSPI1_IO2\  \IC3\-\9\ \R170\-\1\ \IC33\-\R21\ 
\QSPI1_IO3\  \IC3\-\1\ \R162\-\1\ \IC33\-\R22\ 
\REC_CLOCK_N\  \IC33\-\AC24\ 
\REC_CLOCK_P\  \IC33\-\AB24\ 
\REFCLK_1_N\  \J20\-\1\ \C236\-\2\ 
\REFCLK_1_P\  \J21\-\1\ \C235\-\2\ 
\REFCLK_O_N\  \C233\-\2\ \J19\-\1\ 
\REFCLK_O_P\  \C234\-\2\ \J18\-\1\ 
\RGMII2_MDC\  \IC33\-\R27\ 
\RGMII2_MDIO\  \IC33\-\T27\ 
\RGMII2_RXD0\  \IC33\-\P23\ 
\RGMII2_RXD1\  \IC33\-\R25\ 
\RGMII2_RXD2\  \IC33\-\R26\ 
\RGMII2_RXD3\  \IC33\-\T24\ 
\RGMII2_RX_CLK\  \IC33\-\P24\ 
\RGMII2_RX_CTL\  \IC33\-\T25\ 
\RGMII2_TXD0\  \$4I15337\-\2\ 
\RGMII2_TXD1\  \$4I15360\-\2\ 
\RGMII2_TXD2\  \$4I15383\-\2\ 
\RGMII2_TXD3\  \$4I15406\-\2\ 
\RGMII2_TX_CLK\  \$4I15452\-\2\ 
\RGMII2_TX_CTL\  \$4I15429\-\2\ 
\RxFD_10_N\  \IC33\-\AB1\ 
\RxFD_10_P\  \IC33\-\AB2\ 
\RxFD_11_N\  \IC33\-\V1\ 
\RxFD_11_P\  \IC33\-\V2\ 
\RxFD_12_N\  \IC33\-\P1\ 
\RxFD_12_P\  \IC33\-\P2\ 
\RxFD_1_N\  \IC33\-\AP1\ 
\RxFD_1_P\  \IC33\-\AP2\ 
\RxFD_2_N\  \IC33\-\AK1\ 
\RxFD_2_P\  \IC33\-\AK2\ 
\RxFD_3_N\  \IC33\-\AH1\ 
\RxFD_3_P\  \IC33\-\AH2\ 
\RxFD_4_N\  \IC33\-\AD1\ 
\RxFD_4_P\  \IC33\-\AD2\ 
\RxFD_5_N\  \IC33\-\Y1\ 
\RxFD_5_P\  \IC33\-\Y2\ 
\RxFD_6_N\  \IC33\-\T1\ 
\RxFD_6_P\  \IC33\-\T2\ 
\RxFD_7_N\  \IC33\-\AM1\ 
\RxFD_7_P\  \IC33\-\AM2\ 
\RxFD_8_N\  \IC33\-\AJ3\ 
\RxFD_8_P\  \IC33\-\AJ4\ 
\RxFD_9_N\  \IC33\-\AF1\ 
\RxFD_9_P\  \IC33\-\AF2\ 
\RxFEC_10_N\  \C218\-\1\ \IC33\-\AD8\ \R242\-\2\ 
\RxFEC_10_P\  \IC33\-\AD9\ \C217\-\1\ \R245\-\2\ 
\RxFEC_11_N\  \IC33\-\K8\ \R229\-\2\ \C205\-\1\ 
\RxFEC_11_P\  \R228\-\2\ \IC33\-\L8\ \C204\-\1\ 
\RxFEC_12_N\  \IC33\-\H9\ \R223\-\2\ \C210\-\1\ 
\RxFEC_12_P\  \IC33\-\J9\ \R222\-\2\ \C211\-\1\ 
\RxFEC_1_N\  \IC33\-\AN17\ \R205\-\2\ \C186\-\1\ 
\RxFEC_1_P\  \R204\-\2\ \IC33\-\AN18\ \C185\-\1\ 
\RxFEC_2_N\  \C216\-\1\ \IC33\-\AP9\ \R238\-\2\ 
\RxFEC_2_P\  \IC33\-\AN9\ \C215\-\1\ \R235\-\2\ 
\RxFE_10_N\  \C218\-\2\ 
\RxFE_10_P\  \C217\-\2\ 
\RxFE_11_N\  \C205\-\2\ 
\RxFE_11_P\  \C204\-\2\ 
\RxFE_12_N\  \C210\-\2\ 
\RxFE_12_P\  \C211\-\2\ 
\RxFE_1_N\  \C186\-\2\ 
\RxFE_1_P\  \C185\-\2\ 
\RxFE_2_N\  \C216\-\2\ 
\RxFE_2_P\  \C215\-\2\ 
\RxFE_3_N\  \C220\-\2\ 
\RxFE_3_P\  \C219\-\2\ 
\RxFE_4_N\  \C230\-\2\ 
\RxFE_4_P\  \C229\-\2\ 
\RxFE_5_N\  \C197\-\2\ 
\RxFE_5_P\  \C196\-\2\ 
\RxFE_6_N\  \C199\-\2\ 
\RxFE_6_P\  \C198\-\2\ 
\RxFE_7_N\  \C190\-\2\ 
\RxFE_7_P\  \C189\-\2\ 
\RxFE_8_N\  \C232\-\2\ 
\RxFE_8_P\  \C231\-\2\ 
\RxFE_9_N\  \C224\-\2\ 
\RxFE_9_P\  \C223\-\2\ 
\RxFE_C_3_N\  \IC33\-\AL9\ \R234\-\2\ \C220\-\1\ 
\RxFE_C_3_P\  \IC33\-\AK10\ \R237\-\2\ \C219\-\1\ 
\RxFE_C_4_N\  \IC33\-\AD26\ \R248\-\2\ \C230\-\1\ 
\RxFE_C_4_P\  \R247\-\2\ \IC33\-\AD25\ \C229\-\1\ 
\RxFE_C_5_N\  \IC33\-\K15\ \R215\-\2\ \C197\-\1\ 
\RxFE_C_5_P\  \C196\-\1\ \IC33\-\L15\ \R214\-\2\ 
\RxFE_C_6_N\  \IC33\-\H8\ \C199\-\1\ \R225\-\2\ 
\RxFE_C_6_P\  \R224\-\2\ \IC33\-\J8\ \C198\-\1\ 
\RxFE_C_7_N\  \C190\-\1\ \IC33\-\AN16\ \R207\-\2\ 
\RxFE_C_7_P\  \C189\-\1\ \IC33\-\AM17\ \R206\-\2\ 
\RxFE_C_8_N\  \C232\-\1\ \IC33\-\AP8\ \R236\-\2\ 
\RxFE_C_8_P\  \R233\-\2\ \IC33\-\AN8\ \C231\-\1\ 
\SFP1RX_N\  \IC33\-\E3\ 
\SFP1RX_P\  \IC33\-\E4\ 
\SFP1TX_N\  \IC33\-\F5\ 
\SFP1TX_P\  \IC33\-\F6\ 
\SFP1_LED1\  \IC33\-\J24\ 
\SFP1_LED2\  \IC33\-\J25\ 
\SFP1_LOS\  \IC33\-\K26\ 
\SFP1_MOD_DEF0\  \IC33\-\K27\ 
\SFP1_MOD_DEF1\  \IC33\-\G25\ 
\SFP1_MOD_DEF2\  \IC33\-\H26\ 
\SFP1_RATE_SELECT\  \IC33\-\H23\ 
\SFP1_TX_DISABLE\  \IC33\-\H27\ 
\SFP1_TX_FAULT\  \IC33\-\G27\ 
\SFP2RX_N\  \IC33\-\B1\ 
\SFP2RX_P\  \IC33\-\B2\ 
\SFP2TX_N\  \IC33\-\C3\ 
\SFP2TX_P\  \IC33\-\C4\ 
\SFP2_LED1\  \IC33\-\K25\ 
\SFP2_LED2\  \IC33\-\L25\ 
\SFP2_LOS\  \IC33\-\L23\ 
\SFP2_MOD_DEF0\  \IC33\-\L24\ 
\SFP2_MOD_DEF1\  \IC33\-\M27\ 
\SFP2_MOD_DEF2\  \IC33\-\L27\ 
\SFP2_RATE_SELECT\  \IC33\-\J23\ 
\SFP2_TX_DISABLE\  \IC33\-\H24\ 
\SFP2_TX_FAULT\  \IC33\-\J26\ 
\SFP3RX_N\  \IC33\-\D1\ 
\SFP3RX_P\  \IC33\-\D2\ 
\SFP3TX_N\  \IC33\-\D5\ 
\SFP3TX_P\  \IC33\-\D6\ 
\SFP3_LED1\  \IC33\-\M26\ 
\SFP3_LED2\  \IC33\-\M25\ 
\SFP3_LOS\  \IC33\-\N23\ 
\SFP3_MOD_DEF0\  \IC33\-\N26\ 
\SFP3_MOD_DEF1\  \IC33\-\M24\ 
\SFP3_MOD_DEF2\  \IC33\-\L22\ 
\SFP3_RATE_SELECT\  \IC33\-\K23\ 
\SFP3_TX_DISABLE\  \IC33\-\N27\ 
\SFP3_TX_FAULT\  \IC33\-\P26\ 
\SI5324_INT_ALM\  \IC33\-\AJ10\ 
\SI5324_RST\  \IC33\-\AJ8\ 
\SYSCLK_300_N\  \C182\-\1\ \R211\-\2\ \IC33\-\AK16\ \R406\-\2\ 
\SYSCLK_300_P\  \IC33\-\AK17\ \R406\-\1\ \C181\-\1\ \R210\-\2\ 
\SYSMON_VN_R\  \C180\-\1\ \IC33\-\W11\ 
\SYSMON_VP_R\  \IC33\-\V12\ \C180\-\2\ 
\TxFD_10_N\  \C238\-\2\ 
\TxFD_10_P\  \C237\-\2\ 
\TxFD_11_N\  \C254\-\1\ 
\TxFD_11_P\  \C253\-\1\ 
\TxFD_12_N\  \C258\-\1\ 
\TxFD_12_P\  \C257\-\1\ 
\TxFD_1_N\  \C250\-\2\ 
\TxFD_1_P\  \C249\-\2\ 
\TxFD_2_N\  \C248\-\2\ 
\TxFD_2_P\  \C247\-\2\ 
\TxFD_3_N\  \C260\-\2\ 
\TxFD_3_P\  \C261\-\2\ 
\TxFD_4_N\  \C246\-\2\ 
\TxFD_4_P\  \C245\-\2\ 
\TxFD_5_N\  \C252\-\1\ 
\TxFD_5_P\  \C251\-\1\ 
\TxFD_6_N\  \C256\-\1\ 
\TxFD_6_P\  \C255\-\1\ 
\TxFD_7_N\  \C240\-\2\ 
\TxFD_7_P\  \C239\-\2\ 
\TxFD_8_N\  \C244\-\2\ 
\TxFD_8_P\  \C243\-\2\ 
\TxFD_9_N\  \C242\-\2\ 
\TxFD_9_P\  \C241\-\2\ 
\TxFEC_10_N\  \IC33\-\AE10\ \C214\-\1\ \R246\-\2\ 
\TxFEC_10_P\  \IC33\-\AD10\ \C213\-\1\ \R243\-\2\ 
\TxFEC_11_N\  \R221\-\2\ \IC33\-\K13\ \C203\-\1\ 
\TxFEC_11_P\  \IC33\-\L13\ \R220\-\2\ \C202\-\1\ 
\TxFEC_12_N\  \IC33\-\K17\ \R231\-\2\ \C209\-\1\ 
\TxFEC_12_P\  \IC33\-\K18\ \R230\-\2\ \C208\-\1\ 
\TxFEC_1_N\  \C184\-\1\ \IC33\-\AP18\ \R209\-\2\ 
\TxFEC_1_P\  \R208\-\2\ \IC33\-\AN19\ \C183\-\1\ 
\TxFEC_2_N\  \IC33\-\AM15\ \R203\-\2\ \C192\-\1\ 
\TxFEC_2_P\  \IC33\-\AM16\ \R202\-\2\ \C191\-\1\ 
\TxFE_10_N\  \C214\-\2\ 
\TxFE_10_P\  \C213\-\2\ 
\TxFE_11_N\  \C203\-\2\ 
\TxFE_11_P\  \C202\-\2\ 
\TxFE_12_N\  \C209\-\2\ 
\TxFE_12_P\  \C208\-\2\ 
\TxFE_1_N\  \C184\-\2\ 
\TxFE_1_P\  \C183\-\2\ 
\TxFE_2_N\  \C192\-\2\ 
\TxFE_2_P\  \C191\-\2\ 
\TxFE_3_N\  \C222\-\2\ 
\TxFE_3_P\  \C221\-\2\ 
\TxFE_4_N\  \C228\-\2\ 
\TxFE_4_P\  \C227\-\2\ 
\TxFE_5_N\  \C201\-\2\ 
\TxFE_5_P\  \C200\-\2\ 
\TxFE_6_N\  \C207\-\2\ 
\TxFE_6_P\  \C206\-\2\ 
\TxFE_7_N\  \C188\-\2\ 
\TxFE_7_P\  \C187\-\2\ 
\TxFE_8_N\  \C194\-\2\ 
\TxFE_8_P\  \C193\-\2\ 
\TxFE_9_N\  \C226\-\2\ 
\TxFE_9_P\  \C225\-\2\ 
\TxFE_C_3_N\  \IC33\-\AM10\ \R240\-\2\ \C222\-\1\ 
\TxFE_C_3_P\  \IC33\-\AL10\ \R239\-\2\ \C221\-\1\ 
\TxFE_C_4_N\  \IC33\-\Y27\ \C228\-\1\ \R250\-\2\ 
\TxFE_C_4_P\  \R249\-\2\ \IC33\-\Y26\ \C227\-\1\ 
\TxFE_C_5_N\  \IC33\-\J14\ \R217\-\2\ \C201\-\1\ 
\TxFE_C_5_P\  \R216\-\2\ \IC33\-\J15\ \C200\-\1\ 
\TxFE_C_6_N\  \R227\-\2\ \IC33\-\K12\ \C207\-\1\ 
\TxFE_C_6_P\  \IC33\-\L12\ \R226\-\2\ \C206\-\1\ 
\TxFE_C_7_N\  \R201\-\2\ \IC33\-\AP15\ \C188\-\1\ 
\TxFE_C_7_P\  \IC33\-\AP16\ \R200\-\2\ \C187\-\1\ 
\TxFE_C_8_N\  \C194\-\1\ \IC33\-\AM14\ \R199\-\2\ 
\TxFE_C_8_P\  \R198\-\2\ \IC33\-\AL14\ \C193\-\1\ 
\TxFE_C_9_N\  \IC33\-\A18\ \C226\-\1\ \R251\-\2\ 
\TxFE_C_9_P\  \R252\-\2\ \IC33\-\A19\ \C225\-\1\ 
\VCCAUX\  \IC33\-\U8\ \IC33\-\W8\ \IC33\-\AC8\ \IC33\-\Y19\ \IC33\-\AC18\ \IC33\-\M19\ 
*  \IC33\-\R20\ \IC33\-\W20\ \C476\-\2\ \IC33\-\V19\ \IC33\-\AB19\ \IC33\-\AA8\ 
*  \C379\-\2\ \C387\-\2\ \IC33\-\N18\ \IC33\-\T19\ \C377\-\2\ \C378\-\2\ 
*  \C422\-\2\ \IC33\-\P19\ \IC33\-\U20\ \C376\-\2\ \C423\-\2\ 
\VCCBRAM\  \IC33\-\V17\ \C384\-\2\ \IC33\-\Y17\ \C383\-\2\ \C381\-\2\ \C463\-\2\ 
*  \IC33\-\AB17\ \C385\-\2\ \C386\-\2\ \C464\-\2\ \IC33\-\AA18\ \C380\-\2\ 
*  \C382\-\2\ \C465\-\2\ 
\VCCINT\  \IC33\-\R8\ \IC33\-\AC12\ \C152\-\2\ \IC33\-\M11\ \IC33\-\R16\ \C521\-\1\ 
*  \IC33\-\P11\ \C526\-\1\ \IC33\-\R14\ \IC33\-\T17\ \IC33\-\T15\ \IC33\-\AA16\ 
*  \C147\-\2\ \IC33\-\N14\ \C391\-\2\ \IC33\-\V15\ \IC33\-\W16\ \IC33\-\T9\ 
*  \IC33\-\V13\ \IC33\-\P17\ \C389\-\2\ \C151\-\2\ \C527\-\1\ \IC33\-\U18\ 
*  \IC33\-\AC16\ \IC33\-\M9\ \IC33\-\N10\ \IC33\-\M15\ \IC33\-\P15\ \IC33\-\U16\ 
*  \IC33\-\M13\ \IC33\-\Y15\ \IC33\-\Y13\ \IC33\-\R10\ \IC33\-\P13\ \IC33\-\P9\ 
*  \C524\-\1\ \IC33\-\R12\ \IC33\-\AA10\ \IC33\-\AA12\ \IC33\-\N8\ \IC33\-\AA14\ 
*  \IC33\-\AB11\ \IC33\-\AB15\ \IC33\-\T11\ \C466\-\2\ \IC33\-\N12\ \C468\-\2\ 
*  \IC33\-\T13\ \C469\-\2\ \IC33\-\U14\ \IC33\-\U10\ \IC33\-\W10\ \C467\-\2\ 
*  \IC33\-\W14\ \IC33\-\AB13\ \IC33\-\AC10\ \IC33\-\AC14\ \IC33\-\N16\ \C148\-\2\ 
*  \C390\-\2\ \IC33\-\M17\ \IC33\-\R18\ \IC33\-\W18\ \C525\-\1\ \C149\-\2\ 
*  \C394\-\2\ \C470\-\2\ \C393\-\2\ \C522\-\1\ \C528\-\1\ \C523\-\1\ 
*  \C150\-\2\ \C392\-\2\ \C388\-\2\ 
\VHDCI1_10_N\  \IC33\-\A28\ 
\VHDCI1_10_P\  \IC33\-\A27\ 
\VHDCI1_11_N\  \IC33\-\F24\ 
\VHDCI1_11_P\  \IC33\-\F23\ 
\VHDCI1_12_N\  \IC33\-\A29\ 
\VHDCI1_12_P\  \IC33\-\B29\ 
\VHDCI1_13_N\  \IC33\-\B27\ 
\VHDCI1_13_P\  \IC33\-\C27\ 
\VHDCI1_14_N\  \IC33\-\A20\ 
\VHDCI1_14_P\  \IC33\-\B20\ 
\VHDCI1_15_N\  \IC33\-\C28\ 
\VHDCI1_15_P\  \IC33\-\D28\ 
\VHDCI1_16_N\  \IC33\-\E23\ 
\VHDCI1_16_P\  \IC33\-\E22\ 
\VHDCI1_17_N\  \IC33\-\G21\ 
\VHDCI1_17_P\  \IC33\-\H21\ 
\VHDCI1_18_N\  \IC33\-\A25\ 
\VHDCI1_18_P\  \IC33\-\B25\ 
\VHDCI1_19_N\  \IC33\-\B26\ 
\VHDCI1_19_P\  \IC33\-\C26\ 
\VHDCI1_1_N\  \IC33\-\E21\ 
\VHDCI1_1_P\  \IC33\-\E20\ 
\VHDCI1_20_N\  \IC33\-\D29\ 
\VHDCI1_20_P\  \IC33\-\E28\ 
\VHDCI1_21_N\  \IC33\-\F20\ 
\VHDCI1_21_P\  \IC33\-\G20\ 
\VHDCI1_22_N\  \IC33\-\E27\ 
\VHDCI1_22_P\  \IC33\-\F27\ 
\VHDCI1_23_N\  \IC33\-\F22\ 
\VHDCI1_23_P\  \IC33\-\G22\ 
\VHDCI1_24_N\  \IC33\-\C24\ 
\VHDCI1_24_P\  \IC33\-\D24\ 
\VHDCI1_25_N\  \IC33\-\V34\ 
\VHDCI1_25_P\  \IC33\-\U34\ 
\VHDCI1_26_N\  \IC33\-\Y30\ 
\VHDCI1_26_P\  \IC33\-\W30\ 
\VHDCI1_27_N\  \IC33\-\Y32\ 
\VHDCI1_27_P\  \IC33\-\Y31\ 
\VHDCI1_28_N\  \IC33\-\W31\ 
\VHDCI1_28_P\  \IC33\-\V31\ 
\VHDCI1_29_N\  \IC33\-\Y33\ 
\VHDCI1_29_P\  \IC33\-\W33\ 
\VHDCI1_2_N\  \IC33\-\C22\ 
\VHDCI1_2_P\  \IC33\-\C21\ 
\VHDCI1_30_N\  \IC33\-\W34\ 
\VHDCI1_30_P\  \IC33\-\V33\ 
\VHDCI1_31_N\  \IC33\-\AD33\ 
\VHDCI1_31_P\  \IC33\-\AC33\ 
\VHDCI1_32_N\  \IC33\-\AB31\ 
\VHDCI1_32_P\  \IC33\-\AB30\ 
\VHDCI1_3_N\  \IC33\-\D21\ 
\VHDCI1_3_P\  \IC33\-\D20\ 
\VHDCI1_4_N\  \IC33\-\F25\ 
\VHDCI1_4_P\  \IC33\-\G24\ 
\VHDCI1_5_N\  \IC33\-\B22\ 
\VHDCI1_5_P\  \IC33\-\B21\ 
\VHDCI1_6_N\  \IC33\-\C23\ 
\VHDCI1_6_P\  \IC33\-\D23\ 
\VHDCI1_7_N\  \IC33\-\A24\ 
\VHDCI1_7_P\  \IC33\-\B24\ 
\VHDCI1_8_N\  \IC33\-\D25\ 
\VHDCI1_8_P\  \IC33\-\E25\ 
\VHDCI1_9_N\  \IC33\-\D26\ 
\VHDCI1_9_P\  \IC33\-\E26\ 
\VHDCI2_10_N\  \IC33\-\T23\ 
\VHDCI2_10_P\  \IC33\-\T22\ 
\VHDCI2_11_N\  \IC33\-\AD28\ 
\VHDCI2_11_P\  \IC33\-\AC28\ 
\VHDCI2_12_N\  \IC33\-\W21\ 
\VHDCI2_12_P\  \IC33\-\V21\ 
\VHDCI2_13_N\  \IC33\-\AB20\ 
\VHDCI2_13_P\  \IC33\-\AA20\ 
\VHDCI2_14_N\  \IC33\-\AF34\ 
\VHDCI2_14_P\  \IC33\-\AE33\ 
\VHDCI2_15_N\  \IC33\-\AC21\ 
\VHDCI2_15_P\  \IC33\-\AB21\ 
\VHDCI2_16_N\  \IC33\-\AA25\ 
\VHDCI2_16_P\  \IC33\-\AA24\ 
\VHDCI2_17_N\  \IC33\-\AB26\ 
\VHDCI2_17_P\  \IC33\-\AB25\ 
\VHDCI2_18_N\  \IC33\-\AB22\ 
\VHDCI2_18_P\  \IC33\-\AA22\ 
\VHDCI2_19_N\  \IC33\-\AF32\ 
\VHDCI2_19_P\  \IC33\-\AE32\ 
\VHDCI2_1_N\  \IC33\-\U27\ 
\VHDCI2_1_P\  \IC33\-\U26\ 
\VHDCI2_20_N\  \IC33\-\AC23\ 
\VHDCI2_20_P\  \IC33\-\AC22\ 
